step,p1.sign,p1.weight,p1.prob,p1.position
0,+,(1+0j),1,ORIGIN>g0.upper_in
1,+,(0.9330127018922194+0j),0.8705127018922195,g0.upper_out>g1.upper_in
1,-,0.25000000000000006j,0.06250000000000003,g0.upper_out>g1.upper_in
1,+,(0.06698729810778069+0j),0.004487298107780678,g0.lower_out>g1.lower_in
1,-,-0.25000000000000006j,0.06250000000000003,g0.lower_out>g1.lower_in
2,+,(0.9330127018922194+0j),0.8705127018922195,g1.upper_out>g2.upper_in
2,-,-0.25000000000000006j,0.06250000000000003,g1.upper_out>g2.upper_in
2,+,(0.06698729810778069+0j),0.004487298107780678,g1.lower_out>g2.lower_in
2,-,0.25000000000000006j,0.06250000000000003,g1.lower_out>g2.lower_in
3,+,(0.7500000000000002+0j),0.5625000000000003,g2.upper_out>g3.upper_in
3,-,0.43301270189221946j,0.1875000000000001,g2.upper_out>g3.upper_in
3,+,(0.2500000000000001+0j),0.06250000000000006,g2.lower_out>g3.lower_in
3,-,-0.4330127018922194j,0.18750000000000008,g2.lower_out>g3.lower_in
4,+,(0.7500000000000002+0j),0.5625000000000003,g3.upper_in>g3.upper_out
4,-,-0.4330127018922194j,0.18750000000000008,g3.upper_in>g3.upper_out
4,+,(0.2500000000000001+0j),0.06250000000000006,g3.lower_in>g3.lower_out
4,-,0.43301270189221946j,0.1875000000000001,g3.lower_in>g3.lower_out
