step,p1.sign,p1.weight,p1.prob,p1.position,p2.sign,p2.weight,p2.prob,p2.position,p3.sign,p3.weight,p3.prob,p3.position
0,+,(1+0j),1,ORIGIN>g1.upper_in,+,(1+0j),1,ORIGIN>g2.upper_in,+,(1+0j),1,ORIGIN>g3.upper_in
1,+,(0.7499999999999999+0j),0.5624999999999998,g1.upper_out>g3.control_in,+,(1+0j),1,ORIGIN>g2.upper_in,+,(1+0j),1,ORIGIN>g3.upper_in
1,-,0.4330127018922193j,0.18749999999999997,g1.upper_out>g3.control_in,+,(1+0j),1,ORIGIN>g2.upper_in,+,(1+0j),1,ORIGIN>g3.upper_in
1,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(1+0j),1,ORIGIN>g2.upper_in,+,(1+0j),1,ORIGIN>g3.upper_in
1,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(1+0j),1,ORIGIN>g2.upper_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.7499999999999999+0j),0.5624999999999998,g1.upper_out>g3.control_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.7499999999999999+0j),0.5624999999999998,g1.upper_out>g3.control_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.7499999999999999+0j),0.5624999999999998,g1.upper_out>g3.control_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.7499999999999999+0j),0.5624999999999998,g1.upper_out>g3.control_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,0.4330127018922193j,0.18749999999999997,g1.upper_out>g3.control_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,0.4330127018922193j,0.18749999999999997,g1.upper_out>g3.control_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,0.4330127018922193j,0.18749999999999997,g1.upper_out>g3.control_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,0.4330127018922193j,0.18749999999999997,g1.upper_out>g3.control_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,+,(0.25+0j),0.0625,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
2,-,-0.4330127018922193j,0.18749999999999997,g1.lower_out>g5.lower_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,ORIGIN>g3.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,-0.43301270189221946j,0.1875000000000001,g2.upper_out>g4.control_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,+,(0.7499999999999999+0j),0.5624999999999998,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.upper_out>g4.upper_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,+,(1+0j),1,g3.lower_out>g4.lower_in
3,+,(0.7499999999999999+0j),0.5624999999999998,g3.control_out>g5.upper_in,-,0.43301270189221946j,0.1875000000000001,g2.lower_out>g6.lower_in,-,0j,0,g3.lower_out>g4.lower_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,+,0j,0,g3.upper_out>g4.upper_in
3,-,0.4330127018922193j,0.18749999999999997,g3.control_out>g5.upper_in,+,(0.2500000000000002+0j),0.06250000000000011,g2.upper_out>g4.control_in,-,0j,0,g3.upper_out>g4.upper_in
