step,p1.sign,p1.position,p2.sign,p2.position,p3.sign,p3.position,weight,probability
0,+,ORIGIN>g1.upper_in,+,ORIGIN>g2.lower_in,+,ORIGIN>g3.upper_in,(1+0j),1
1,+,g1.upper_out>g3.control_in,+,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,(0.5624999999999999+0j),0.3164062499999999
1,+,g1.upper_out>g3.control_in,-,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,0.32475952641916445j,0.10546874999999997
1,+,g1.upper_out>g3.control_in,+,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,(0.18749999999999997+0j),0.035156249999999986
1,+,g1.upper_out>g3.control_in,-,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,-0.32475952641916445j,0.10546874999999997
1,-,g1.upper_out>g3.control_in,+,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,0.32475952641916445j,0.10546874999999997
1,-,g1.upper_out>g3.control_in,-,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,(-0.18749999999999997+0j),0.035156249999999986
1,-,g1.upper_out>g3.control_in,+,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,0.10825317547305482j,0.011718749999999998
1,-,g1.upper_out>g3.control_in,-,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,(0.18749999999999997+0j),0.035156249999999986
1,+,g1.lower_out>g5.lower_in,+,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,(0.18749999999999997+0j),0.035156249999999986
1,+,g1.lower_out>g5.lower_in,-,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,0.10825317547305482j,0.011718749999999998
1,+,g1.lower_out>g5.lower_in,+,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,(0.0625+0j),0.00390625
1,+,g1.lower_out>g5.lower_in,-,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,-0.10825317547305482j,0.011718749999999998
1,-,g1.lower_out>g5.lower_in,+,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,-0.32475952641916445j,0.10546874999999997
1,-,g1.lower_out>g5.lower_in,-,g2.lower_out>g6.lower_in,+,ORIGIN>g3.upper_in,(0.18749999999999997+0j),0.035156249999999986
1,-,g1.lower_out>g5.lower_in,+,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,-0.10825317547305482j,0.011718749999999998
1,-,g1.lower_out>g5.lower_in,-,g2.upper_out>g4.control_in,+,ORIGIN>g3.upper_in,(-0.18749999999999997-0j),0.035156249999999986
2,+,g3.control_out>g5.upper_in,+,g2.lower_out>g6.lower_in,+,g3.lower_out>g4.lower_in,(0.5624999999999999+0j),0.3164062499999999
2,+,g3.control_out>g5.upper_in,-,g2.lower_out>g6.lower_in,+,g3.lower_out>g4.lower_in,0.32475952641916445j,0.10546874999999997
2,+,g3.control_out>g5.upper_in,+,g2.upper_out>g4.control_in,+,g3.lower_out>g4.lower_in,(0.18749999999999997+0j),0.035156249999999986
2,+,g3.control_out>g5.upper_in,-,g2.upper_out>g4.control_in,+,g3.lower_out>g4.lower_in,-0.32475952641916445j,0.10546874999999997
2,-,g3.control_out>g5.upper_in,+,g2.lower_out>g6.lower_in,+,g3.lower_out>g4.lower_in,0.32475952641916445j,0.10546874999999997
2,-,g3.control_out>g5.upper_in,-,g2.lower_out>g6.lower_in,+,g3.lower_out>g4.lower_in,(-0.18749999999999997+0j),0.035156249999999986
2,-,g3.control_out>g5.upper_in,+,g2.upper_out>g4.control_in,+,g3.lower_out>g4.lower_in,0.10825317547305482j,0.011718749999999998
2,-,g3.control_out>g5.upper_in,-,g2.upper_out>g4.control_in,+,g3.lower_out>g4.lower_in,(0.18749999999999997+0j),0.035156249999999986
2,+,g1.lower_out>g5.lower_in,+,g2.lower_out>g6.lower_in,+,g3.upper_out>g4.upper_in,(0.18749999999999997+0j),0.035156249999999986
2,+,g1.lower_out>g5.lower_in,-,g2.lower_out>g6.lower_in,+,g3.upper_out>g4.upper_in,0.10825317547305482j,0.011718749999999998
2,+,g1.lower_out>g5.lower_in,+,g2.upper_out>g4.control_in,+,g3.upper_out>g4.upper_in,(0.0625+0j),0.00390625
2,+,g1.lower_out>g5.lower_in,-,g2.upper_out>g4.control_in,+,g3.upper_out>g4.upper_in,-0.10825317547305482j,0.011718749999999998
2,-,g1.lower_out>g5.lower_in,+,g2.lower_out>g6.lower_in,+,g3.upper_out>g4.upper_in,-0.32475952641916445j,0.10546874999999997
