step,part1.sign,part1.weight,part1.prob,part1.position,part2.sign,part2.weight,part2.prob,part2.position
4,+,(0.9999999999999999+0j),0.9999999999999998,gate2.upper_in>gate2.upper_out,+,(0.9999999999999999+0j),0.9999999999999998,gateB.upper_in>gateB.upper_out
4,+,(0.9999999999999999+0j),0.9999999999999998,gate2.upper_in>gate2.upper_out,-,5.551115123125783e-17j,3.0814879110195774e-33,gateB.upper_in>gateB.upper_out
4,+,(0.9999999999999999+0j),0.9999999999999998,gate2.upper_in>gate2.upper_out,+,0j,0,gateB.lower_in>gateB.lower_out
4,+,(0.9999999999999999+0j),0.9999999999999998,gate2.upper_in>gate2.upper_out,-,0j,0,gateB.lower_in>gateB.lower_out
4,-,5.551115123125783e-17j,3.0814879110195774e-33,gate2.upper_in>gate2.upper_out,+,(0.9999999999999999+0j),0.9999999999999998,gateB.upper_in>gateB.upper_out
4,-,5.551115123125783e-17j,3.0814879110195774e-33,gate2.upper_in>gate2.upper_out,-,5.551115123125783e-17j,3.0814879110195774e-33,gateB.upper_in>gateB.upper_out
4,-,5.551115123125783e-17j,3.0814879110195774e-33,gate2.upper_in>gate2.upper_out,+,0j,0,gateB.lower_in>gateB.lower_out
4,-,5.551115123125783e-17j,3.0814879110195774e-33,gate2.upper_in>gate2.upper_out,-,0j,0,gateB.lower_in>gateB.lower_out
4,+,0j,0,gate2.lower_in>gate2.lower_out,+,(0.9999999999999999+0j),0.9999999999999998,gateB.upper_in>gateB.upper_out
4,+,0j,0,gate2.lower_in>gate2.lower_out,-,5.551115123125783e-17j,3.0814879110195774e-33,gateB.upper_in>gateB.upper_out
4,+,0j,0,gate2.lower_in>gate2.lower_out,+,0j,0,gateB.lower_in>gateB.lower_out
4,+,0j,0,gate2.lower_in>gate2.lower_out,-,0j,0,gateB.lower_in>gateB.lower_out
4,-,0j,0,gate2.lower_in>gate2.lower_out,+,(0.9999999999999999+0j),0.9999999999999998,gateB.upper_in>gateB.upper_out
4,-,0j,0,gate2.lower_in>gate2.lower_out,-,5.551115123125783e-17j,3.0814879110195774e-33,gateB.upper_in>gateB.upper_out
4,-,0j,0,gate2.lower_in>gate2.lower_out,+,0j,0,gateB.lower_in>gateB.lower_out
4,-,0j,0,gate2.lower_in>gate2.lower_out,-,0j,0,gateB.lower_in>gateB.lower_out
