step,part1.sign,part1.position,weight,probability
0,+,ORIGIN>gate1.upper_in,(1+0j),1
1,+,gate1.upper_out>gate0.upper_in,(0.7499999999999999+0j),0.5624999999999998
1,-,gate1.upper_out>gate0.upper_in,0.4330127018922193j,0.18749999999999997
1,+,gate1.lower_out>gate0.lower_in,(0.25+0j),0.0625
1,-,gate1.lower_out>gate0.lower_in,-0.4330127018922193j,0.18749999999999997
2,+,gate0.upper_out>gate2.upper_in,(0.7499999999999999+0j),0.5624999999999998
2,-,gate0.upper_out>gate2.upper_in,-0.4330127018922193j,0.18749999999999997
2,+,gate0.lower_out>gate2.lower_in,(0.25+0j),0.0625
2,-,gate0.lower_out>gate2.lower_in,0.4330127018922193j,0.18749999999999997
3,+,gate2.upper_in>gate2.upper_out,(0.24999999999999992+0j),0.06249999999999996
3,-,gate2.upper_in>gate2.upper_out,0.43301270189221924j,0.18749999999999992
3,+,gate2.lower_in>gate2.lower_out,(0.7499999999999999+0j),0.5624999999999998
3,-,gate2.lower_in>gate2.lower_out,-0.4330127018922193j,0.18749999999999997
