step,group,p1_wire,p1_sign,p1_weight_re,p1_weight_im,p1_weight_abs2,p2_wire,p2_sign,p2_weight_re,p2_weight_im,p2_weight_abs2,p3_wire,p3_sign,p3_weight_re,p3_weight_im,p3_weight_abs2
0,initial,ORIGIN→g1.upper,+,1,0,1,ORIGIN→g2.upper,+,1,0,1,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,-,0,0.4330127018922193,0.1875,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,+,0.7500000000000001,0,0.5625,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,-,0,0.4330127018922193,0.1875,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,+,0.24999999999999994,0,0.0625,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,+,0.24999999999999994,0,0.0625,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,-,0,0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,+,0.7500000000000001,0,0.5625,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,+,0.7500000000000001,0,0.5625,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,+,0.24999999999999994,0,0.0625,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,-,0,0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.upper→g3.control,+,0.7500000000000001,0,0.5625,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,ORIGIN→g3.upper,+,1,0,1
1,prep,g1.lower→g5.lower,+,0.24999999999999994,0,0.0625,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,ORIGIN→g3.upper,+,1,0,1
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,g3.upper→g4.upper,+,1,0,1
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,g3.lower→g4.lower,+,1,0,1
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.upper→g4.upper,+,1,0,1
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.upper→g4.upper,+,1,0,1
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.upper→g4.upper,+,0,0,0
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,g3.lower→g4.lower,+,0,0,0
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.lower→g4.lower,+,1,0,1
2,couple1,g3.control→g5.upper,+,0.7500000000000001,0,0.5625,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,g3.lower→g4.lower,+,1,0,1
2,couple1,g1.lower→g5.lower,+,0.24999999999999994,0,0.0625,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.lower→g4.lower,+,0,0,0
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,g3.upper→g4.upper,-,0,0,0
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.upper→g4.control,-,0,0.4330127018922193,0.1875,g3.upper→g4.upper,-,0,0,0
2,couple1,g3.control→g5.upper,+,0.7500000000000001,0,0.5625,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,g3.upper→g4.upper,-,0,0,0
