step,group,p1_wire,p1_sign,p2_wire,p2_sign,p3_wire,p3_sign,weight_re,weight_im,weight_abs2
0,initial,g1.upper,+,g2.upper,+,g3.upper,+,1,0,1
1,prep,g3.control,+,g6.lower,-,g3.upper,+,0,-0.325,0.105
1,prep,g3.control,-,g4.control,-,g3.upper,+,-0.187,0,0.035
1,prep,g3.control,-,g4.control,+,g3.upper,+,0,0.325,0.105
1,prep,g5.lower,+,g6.lower,-,g3.upper,+,0,-0.108,0.012
1,prep,g5.lower,-,g6.lower,+,g3.upper,+,0,-0.108,0.012
1,prep,g5.lower,-,g4.control,-,g3.upper,+,0.187,0,0.035
1,prep,g5.lower,-,g6.lower,-,g3.upper,+,-0.187,0,0.035
1,prep,g5.lower,+,g4.control,+,g3.upper,+,0.188,0,0.035
1,prep,g5.lower,+,g6.lower,+,g3.upper,+,0.063,0,0.004
1,prep,g5.lower,-,g4.control,+,g3.upper,+,0,-0.325,0.105
1,prep,g3.control,+,g4.control,-,g3.upper,+,0,0.325,0.105
1,prep,g3.control,-,g6.lower,-,g3.upper,+,0.187,0,0.035
1,prep,g5.lower,+,g4.control,-,g3.upper,+,0,0.108,0.012
1,prep,g3.control,+,g4.control,+,g3.upper,+,0.563,0,0.316
1,prep,g3.control,-,g6.lower,+,g3.upper,+,0,0.108,0.012
1,prep,g3.control,+,g6.lower,+,g3.upper,+,0.188,0,0.035
2,couple1,g5.lower,-,g6.lower,+,g4.upper,+,0,-0.108,0.012
2,couple1,g5.upper,-,g6.lower,-,g4.lower,+,0.187,0,0.035
2,couple1,g5.upper,-,g6.lower,+,g4.lower,+,0,0.108,0.012
2,couple1,g5.lower,-,g4.control,-,g4.upper,+,0.187,0,0.035
2,couple1,g5.lower,+,g6.lower,+,g4.upper,+,0.063,0,0.004
2,couple1,g5.upper,+,g6.lower,-,g4.lower,+,0,-0.325,0.105
2,couple1,g5.upper,-,g4.control,+,g4.lower,+,0,0.325,0.105
2,couple1,g5.lower,+,g4.control,+,g4.upper,+,0.188,0,0.035
2,couple1,g5.lower,-,g4.control,+,g4.upper,+,0,-0.325,0.105
2,couple1,g5.upper,-,g4.control,-,g4.lower,+,-0.187,0,0.035
2,couple1,g5.upper,+,g6.lower,+,g4.lower,+,0.188,0,0.035
2,couple1,g5.upper,+,g4.control,+,g4.lower,+,0.563,0,0.316
2,couple1,g5.lower,-,g6.lower,-,g4.upper,+,-0.187,0,0.035
2,couple1,g5.lower,+,g6.lower,-,g4.upper,+,0,-0.108,0.012
2,couple1,g5.lower,+,g4.control,-,g4.upper,+,0,0.108,0.012
2,couple1,g5.upper,+,g4.control,-,g4.lower,+,0,0.325,0.105
3,couple2,g5.lower,+,g6.upper,-,g4.upper,+,0,0.108,0.012
3,couple2,g5.upper,+,g6.upper,+,g4.lower,+,0.563,0,0.316
3,couple2,g5.upper,-,g6.upper,-,g4.lower,+,-0.187,0,0.035
3,couple2,g5.upper,+,g6.lower,+,g4.lower,+,0.188,0,0.035
3,couple2,g5.lower,-,g6.upper,+,g4.upper,+,0,-0.325,0.105
3,couple2,g5.lower,-,g6.upper,-,g4.upper,+,0.187,0,0.035
3,couple2,g5.upper,-,g6.upper,+,g4.lower,+,0,0.325,0.105
3,couple2,g5.upper,+,g6.lower,-,g4.lower,+,0,-0.325,0.105
3,couple2,g5.lower,+,g6.lower,-,g4.upper,+,0,-0.108,0.012
3,couple2,g5.lower,+,g6.lower,+,g4.upper,+,0.063,0,0.004
3,couple2,g5.lower,-,g6.lower,+,g4.upper,+,0,-0.108,0.012
3,couple2,g5.upper,+,g6.upper,-,g4.lower,+,0,0.325,0.105
3,couple2,g5.upper,-,g6.lower,-,g4.lower,+,0.187,0,0.035
3,couple2,g5.lower,+,g6.upper,+,g4.upper,+,0.188,0,0.035
3,couple2,g5.upper,-,g6.lower,+,g4.lower,+,0,0.108,0.012
3,couple2,g5.lower,-,g6.lower,-,g4.upper,+,-0.187,0,0.035
4,observe,g5.upper,+,g6.upper,-,g4.lower,+,0,0.325,0.105
4,observe,g5.upper,-,g6.upper,+,g4.lower,+,0,0.325,0.105
4,observe,g5.upper,+,g6.lower,+,g4.lower,+,0.188,0,0.035
4,observe,g5.upper,-,g6.upper,-,g4.lower,+,-0.187,0,0.035
4,observe,g5.lower,-,g6.lower,+,g4.upper,+,0,-0.108,0.012
4,observe,g5.lower,-,g6.upper,-,g4.upper,+,0.187,0,0.035
4,observe,g5.lower,-,g6.lower,-,g4.upper,+,-0.187,0,0.035
4,observe,g5.lower,-,g6.upper,+,g4.upper,+,0,-0.325,0.105
4,observe,g5.lower,+,g6.upper,-,g4.upper,+,0,0.108,0.012
4,observe,g5.upper,-,g6.lower,-,g4.lower,+,0.187,0,0.035
4,observe,g5.upper,-,g6.lower,+,g4.lower,+,0,0.108,0.012
4,observe,g5.lower,+,g6.lower,-,g4.upper,+,0,-0.108,0.012
4,observe,g5.lower,+,g6.lower,+,g4.upper,+,0.063,0,0.004
4,observe,g5.upper,+,g6.upper,+,g4.lower,+,0.563,0,0.316
4,observe,g5.lower,+,g6.upper,+,g4.upper,+,0.188,0,0.035
4,observe,g5.upper,+,g6.lower,-,g4.lower,+,0,-0.325,0.105
5,prep,g5.upper,+,g6.lower,+,g4.lower,+,0.188,0,0.035
5,prep,g5.lower,-,g6.upper,+,g4.upper,+,0,-0.325,0.105
5,prep,g5.upper,+,g6.upper,-,g4.lower,+,0,0.325,0.105
